lat,lon,depth,time,Gephyrocapsa huxleyi HET,temperature,no3,o2,PAR
46,-20,10,3,67700.0,12.429631119344483,5.119592712824791,262.12792531804075,25.748709005670136
46,-15,5,5,393380.0,13.253195216801128,2.0322246879926413,275.79290512081775,62.08624023322299
46,-15,20,5,162650.0,13.082162043658386,2.4357738703574925,272.54408375717435,14.744643003998496
46,-13,5,9,5362.2,18.098489572352953,0.21763278209804948,240.52927680266785,49.82520361809175
46,-13,10,9,5309.3,18.081760817984105,0.2922658085542948,239.67711060425742,34.4610561585381
46,-13,20,9,5976.0,17.95871379913701,0.3038368418150849,239.57278798937736,16.570049368128156
46,-8,0,7,77000.0,17.707912618944093,0.31372675121425875,242.2143020978283,114.46086965715261
47,-21,15,5,388841.0,13.17075720156891,3.8699149511679263,272.5299737445377,20.492573165719048
47,-20,5,9,22700.0,17.70447967187959,0.025772411515446986,242.37089846249742,43.91217379236203
47,-19,0,9,26477.5,17.7119126920775,0.31931987998528255,241.90363051761926,65.70441645857514
47,-19,5,9,284444.0,17.67910785958649,0.03667808978721528,242.48486560933245,44.18330408867476
47,-15,5,9,21180.0,17.632418975270248,0.11138462688827075,242.53767868032998,45.37598873005745
47,-14,0,9,17399.5,17.686315563685337,0.2342469412381853,242.6073777267393,68.5853905564528
47,-14,5,6,883.0,15.12705884555149,0.6127642976134222,262.3308912608932,68.22588217229539
47,-14,15,6,1633.0,14.819767307079738,0.8854886758172507,263.9605451263477,27.034271854368686
47,-11,5,9,57689.4,17.647430852818093,0.3979192899786219,245.1638428131048,48.57107356195079
47,-11,20,9,56738.5,17.514070726990294,0.5691658011784088,242.39316576886964,15.175017621384775
47,-7,0,7,27537.0,17.319169567914575,0.31466157187033855,244.9440971749329,113.7208803157324
48,-14,5,5,124822.5,12.671589252487594,3.543877826995642,276.67982470386244,62.02539346835546
48,-14,20,5,205768.0,12.508417332666806,3.927441562542813,274.27799396364907,15.701178769716345
48,-10,5,9,22700.0,17.126748200838815,0.5038678720463371,249.73760387697894,46.16592934066384
48,-9,5,5,95320.0,12.573490179283588,3.251762089067069,274.82272252706923,58.03772036081606
48,-9,5,9,54865.5,17.06639285568246,0.6030034881042736,250.2994947832346,45.904262354292506
48,-9,10,9,49553.7,17.03511489277853,0.7384729912287576,249.33163143833352,29.809567395062075
48,-9,20,9,41682.2,16.87992511183527,0.918528969234123,248.1223864824165,12.700288880448028
48,-6,0,7,14973.0,16.68397123935588,0.2610702790772063,251.0059951964043,113.42415369576435
49,-6,5,9,30246.1,15.946070265114578,1.0844198287515607,255.90585224063454,39.808270643609944
49,-6,10,9,43742.5,15.845452230914894,1.2882063138720794,256.91239746664996,22.92945980208064
