time,depth,lat,lon,temperature,no3,o2,PAR
1,0,45,-60,0.8611020148905462,0.11099474887997264,329.72866399762927,20.45417020466976
1,0,45,-59,1.4906606173554562,0.08582965528255608,324.3913842305642,19.66098773506091
1,0,45,-58,2.375918204041412,0.08269817993313046,315.27836235412155,19.01915048513755
1,0,45,-57,2.7971588262693636,0.30121795749831076,312.1748448679286,18.458431055373335
1,0,45,-56,2.9578151500622,0.5723640173828235,315.16179082443955,18.011768156431586
1,0,45,-55,2.8401011096127884,1.010057558663739,325.697335406376,17.740543021441102
1,0,45,-54,2.2747431698798826,1.9367207324029454,343.50889070432845,17.9113201131996
1,0,45,-53,1.7972069892413143,2.707030575007044,352.04267827404595,18.2029204954586
1,0,45,-52,1.7401557251798678,3.0013670430163764,347.795543926147,18.009410739047418
1,0,45,-51,1.848617247653336,3.2682785089645794,341.48794376588876,18.111574500979074
1,0,45,-50,2.255120944711296,3.48305534593605,332.14981941142725,18.543520272899567
1,0,45,-49,3.0661564841922018,3.63970213836475,320.5767018895241,19.037817241091442
1,0,45,-48,4.313961540652791,3.75617991825445,307.84907333256086,18.353503305328466
1,0,45,-47,5.916428518429585,3.8518586799236467,295.1198008089706,17.62938542338429
1,0,45,-46,7.7023778184534315,3.941652827581409,283.3290314143892,17.670159283238295
1,0,45,-45,9.470220478208697,4.038462760680867,273.06150845319337,17.35398494955014
1,0,45,-44,11.046026057158684,4.153088094059644,264.49895297130547,17.187837283953534
1,0,45,-43,12.324117567036247,4.293216322348661,257.544453511729,17.403114537055686
1,0,45,-42,13.271679724061663,4.461716927092333,252.05891153833963,17.74269115602622
1,0,45,-41,13.913671299977306,4.654773292002145,248.0062986291567,18.351935749404305
1,0,45,-40,14.316382763255595,4.860746304805938,245.44155625310918,18.811139113152965
1,0,45,-39,14.494881546229642,5.0612132462255035,244.35691913509726,19.315225600280254
1,0,45,-38,14.512733109615642,5.233611839418179,244.54364467923904,19.797891114287662
1,0,45,-37,14.428857996674687,5.357254859867205,245.58646743061522,20.511183993383785
1,0,45,-36,14.270795848027142,5.419942962245983,246.996095416059,20.98514342229258
1,0,45,-35,14.133968525728879,5.421354030700924,248.38787143000096,21.396932930430037
1,0,45,-34,14.047836002962516,5.371826709954396,249.58786928827584,21.690911627064484
1,0,45,-33,14.006413105643505,5.287242191492181,250.63357996877934,21.8902421425323
1,0,45,-32,13.982662082817829,5.182745504421368,251.64276824696856,21.749138241824916
1,0,45,-31,13.94098671657862,5.068403400763888,252.67069180431574,21.500977500712317
1,0,45,-30,13.894066693703266,4.9480322569572355,253.68591397259024,21.40695351905837
1,0,45,-29,13.840789969158335,4.821140614018386,254.6127333384824,21.458945442134066
1,0,45,-28,13.775607077582533,4.686632623318482,255.38025032122928,21.837170981241503
1,0,45,-27,13.708169551347105,4.547005081324616,255.97907173739773,22.074895738409946
1,0,45,-26,13.636258560308859,4.411129753695734,256.440511105396,22.513009983546162
1,0,45,-25,13.564863111187028,4.293172223145204,256.80382914089216,22.266860572128188
1,0,45,-24,13.496417807072131,4.20900577069233,257.06635723232785,22.218051329530123
1,0,45,-23,13.429450539496896,4.171810878916805,257.19148188205514,22.29958463558766
1,0,45,-22,13.361465396298074,4.18881897349194,257.1745308660487,22.29121189522626
1,0,45,-21,13.291458975679715,4.252516850069631,257.02841831442805,22.531248621046203
1,0,45,-20,13.21966598989436,4.358826045234269,256.7495702811897,22.526271395313668
