lat,lon,depth,time,Primary_Production,temperature,no3,o2,PAR
46.0,-8.0,0.0,6,1535.14,15.722020516377851,0.411714556570999,258.3680349403156,116.84533008213651
46.0,-8.0,5.0,6,1620.71,15.604325604322145,0.32847705489350637,260.2402028355343,76.8375304563608
46.0,-8.0,15.0,6,1548.27,15.241374857323247,0.4347225945636931,260.1407988429733,33.73443855563767
46.0,-8.0,20.0,6,1236.9899999999998,14.940076014538501,0.613081722510101,259.9088176875703,22.52098681028733
48.0,-10.0,0.0,4,6891.24,11.501021443439596,6.695167682743116,275.0404037004219,83.61174942360765
48.0,-10.0,0.0,7,1458.3266666666666,16.65624423095137,0.4872293256839484,253.33086254149634,108.92309967650347
48.0,-10.0,0.0,11,1115.2,13.788958334711234,2.773529725396443,250.41884224027058,22.199532626589956
48.0,-10.0,5.0,4,5998.41,11.46812374359739,6.214282700502394,275.04863958581876,49.81969996076413
48.0,-10.0,5.0,7,1880.7066666666667,16.523612677152492,0.543568449561915,254.37479797498463,70.59095596228201
48.0,-10.0,5.0,11,935.13,13.75033276026548,2.334412985304635,251.27024845466883,14.9895332264258
48.0,-10.0,10.0,4,5355.59,11.436371646648311,6.17595296554851,275.17290473790695,30.339808429421996
48.0,-10.0,10.0,7,1045.81,16.415589855544358,0.11592115418843245,254.93327587243007,45.9776029723064
48.0,-10.0,15.0,4,12337.29,11.38972728653077,6.165808060689037,274.24719499644743,18.80477307970833
48.0,-10.0,15.0,7,238.53666666666666,16.20985506076344,0.30463859055114006,255.0064633048845,30.090959870422765
48.0,-10.0,15.0,11,540.575,13.750353851446338,2.8734883574282306,252.96319809412194,6.86989966120857
48.0,-10.0,20.0,4,1688.105,11.354985326971052,6.581645074984342,273.7627144667258,11.825428217029172
48.0,-10.0,20.0,7,48.95,15.907567606712986,0.4729999580055771,255.246209625076,19.786248024714148
48.0,-10.0,25.0,11,250.48000000000002,13.753021355623842,2.8418156605335856,252.18138108582366,3.169610698693457
48.0,-9.0,5.0,4,15193.235,11.343129355426157,5.602460403836737,275.917578810114,49.48017264179091
48.0,-9.0,10.0,4,10692.24,11.311326700933908,5.557403582571083,275.6172922953801,29.76193631532898
48.0,-9.0,15.0,4,7031.0,11.258362933437212,5.558809417091812,274.46784730286686,18.26716333121387
48.0,-9.0,20.0,4,1877.08,11.221080271287533,6.1532202898274795,273.6802733184802,11.395850573921667
48.0,-9.0,25.0,4,437.17,11.184283616804654,5.927609219712596,274.30626141773377,7.20519309062179
48.0,-8.0,0.0,6,4268.18,14.752314438682253,0.6163461572140245,268.20475859377575,115.64728092683266
48.0,-8.0,10.0,6,4185.43,14.473466621057636,0.4097277164921459,268.92749055296815,39.22727462040422
48.0,-8.0,20.0,6,2885.63,13.906637680027648,1.0002121144915443,266.349363770659,14.055793281624178
49.0,-17.0,0.0,5,456.0,12.530821653936359,4.841528082721314,276.8550366155347,97.9243591773582
49.0,-17.0,5.0,5,796.0,12.501884777255285,3.3981254919737394,278.3468281579301,60.53636177109876
49.0,-17.0,10.0,5,694.0,12.464604531684973,3.749783857960692,276.3796559383686,37.903210930930136
49.0,-9.0,0.0,4,15155.15,10.929378074529605,7.342128725006301,282.38386039115875,83.46371034228481
49.0,-9.0,0.0,7,1033.33,16.326089239275948,0.7595335446682083,256.84148245117643,108.2912690872623
49.0,-9.0,0.0,11,1543.39,13.183878581463516,3.6772943724575717,254.1984907913097,20.79847561466697
49.0,-9.0,5.0,4,12898.547777777778,10.889230832144099,6.3066078444109746,283.0573310103364,44.99013938083956
49.0,-9.0,5.0,7,896.588,16.189740175143182,0.5505947339587601,255.6747011968466,72.69643703375269
49.0,-9.0,5.0,11,1451.0600000000002,13.1573949560201,2.9865630360266433,255.92935818371967,13.798570461626221
49.0,-9.0,10.0,4,12980.470000000001,10.85922502573743,6.228270733746145,282.65318008186046,25.141965658073044
49.0,-9.0,10.0,7,1076.545,16.047515971610544,0.13593902553471812,256.38823840871265,48.93540555277916
49.0,-9.0,10.0,11,1205.24,13.157869496163649,3.5542809774803055,257.15849764619,9.180521488220746
49.0,-9.0,15.0,4,5967.153333333333,10.800257650327724,6.157565136403351,280.85142557988604,14.428648746482525
49.0,-9.0,15.0,7,983.01,15.805092505832556,0.32707566412766476,256.54933670937714,33.02672963933582
49.0,-9.0,15.0,11,999.4275,13.154429768611564,3.593499833415523,257.8724456309267,6.124351626398878
49.0,-9.0,20.0,4,1530.315,10.75231349641602,6.762806206496,279.2886150277211,8.455236810210954
49.0,-9.0,20.0,7,499.29,15.44199204213777,0.5370918150948345,257.84900901197955,22.345541794294963
49.0,-9.0,20.0,11,134.95,13.15702680002674,3.564785756498794,257.48458856258486,4.095918203698541
49.0,-9.0,25.0,4,451.45,10.709254449604142,6.2993091128594285,280.44837363361313,5.041159521968818
49.0,-9.0,25.0,7,847.28,14.90733997353969,0.9834713735966958,257.72674055749627,15.155058271517952
49.0,-9.0,25.0,11,317.84749999999997,13.15859816655818,3.5510909267226953,257.00082708022,2.7459175114508914
50.0,-7.0,0.0,4,14032.87,10.007780476997889,8.74545978156229,292.68575288254846,84.77361282564478
50.0,-7.0,10.0,4,12788.54,9.930470918280047,6.616208177362966,293.0086778716425,23.675679043254192
50.0,-7.0,15.0,4,5634.13,9.855175495549505,6.505140039930108,290.2732095939678,12.96787785968645
50.0,-5.0,0.0,6,1621.13,13.590208379395099,1.187316445098097,280.8417846795605,111.95286431988319
50.0,-5.0,5.0,6,1708.7350000000001,13.410857013590858,0.7913490551490061,283.3890552987495,63.36158425509073
50.0,-5.0,10.0,6,1956.28,13.17860666023058,0.5534731698681418,281.40573857638884,36.40267144732785
50.0,-5.0,15.0,6,1136.78,12.87086907893493,0.8440792261909331,277.72704188592,21.17259757411794
