Principal Investigator,Expedition,OS Region,Reference Author Published year,Reference doi,Date of collection,Sample ID,Latitude,Longitude,Sampling Depth [m],Percentage Irradiance Depth (% of surface PAR),Optical Depth,CP and PP Analysis Method,CP and PP analysis Incubation Length [hours],CaCO3 production (CP) [µmol C m-3 d-1],CaCO3 production Standard Deviation [µmol C m-3 d-1],Primary Production (PP) [µmol C m-3 d-1],Primary Production Standard Deviation [µmol C m-3 d-1],Total Coccolithophore cell counts [cells mL-1],Emiliania huxleyi cell counts [cells mL-1],Chlorophyll a [mg m-3],Inorganic Nitrogen (NOx) [µM N L-1],Silicate [µM Si L-1],Phosphate [µM P L-1],Dissolved Inorganic Carbon (DIC) [μmol C kg-1],Total Alkalinity  [μmol C kg-1],Bicarbonate Ion (HCO3-) [μmol C kg-1],Carbonate Ion (CO32-) [μmol C kg-1],pH,Temperature [oC],Salinity
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-10,2,4,-110,6.83,52,0.65,MDT,24,17.4,11.11,639.64,190.56,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-11,3,3,-110,11.07,52,0.65,MDT,24,25.88,3.23,773.19,43.32,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-11,3,3,-110,21.58,31,1.17,MDT,24,21.11,3.47,706.15,84.63,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-11,3,3,-110,36.56,13,2.04,MDT,24,12.13,1.9,467.41,108.2,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-11,3,3,-110,56.07,5,3,MDT,24,3.44,3.2,181.21,37.48,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-11,3,3,-110,89.25,0.8,4.83,MDT,24,2.29,0.62,21.37,13.57,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-11,3,3,-110,122.22,0.1,6.91,MDT,24,0.78,0.87,5,6.99,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-12,4,2,-110,12.75,52,0.65,MDT,24,70.01,73.63,1502.69,312.2,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-12,4,2,-110,23.34,31,1.17,MDT,24,63.92,38.75,1412.24,34.93,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-12,4,2,-110,39.28,13,2.04,MDT,24,29.42,3.54,770.11,274.53,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-12,4,2,-110,58.61,5,3,MDT,24,10.28,3.17,514.31,277.33,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-12,4,2,-110,93.76,0.8,4.83,MDT,24,12.21,17.17,391.08,228.61,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-13,5,1,-110,13.13,52,0.65,MDT,24,25.2,6.1,1167.39,74.76,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-13,5,1,-110,24.75,31,1.17,MDT,24,13.1,12.71,969.58,54.16,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-13,5,1,-110,40.51,13,2.04,MDT,24,17.42,3.82,693.82,52.3,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-13,5,1,-110,61.04,5,3,MDT,24,4.86,3.77,398.97,57.01,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-13,5,1,-110,97.1,0.8,4.83,MDT,24,1.96,1.5,68.03,25.34,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-13,5,1,-110,130.83,0.1,6.91,MDT,24,0.16,0.27,16.82,12.05,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-14,7,0,-110,11.82,52,0.65,MDT,24,25.37,1.09,937.74,24.38,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-14,7,0,-110,23.18,31,1.17,MDT,24,32.76,3.91,1132.56,79.84,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-14,7,0,-110,38.49,13,2.04,MDT,24,30.41,1.65,798.91,45.17,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-14,7,0,-110,59.47,5,3,MDT,24,8.25,3.03,490.56,175.16,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-14,7,0,-110,94.49,0.8,4.83,MDT,24,0.13,0.39,36.1,5.26,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-15,9,-1,-110,11.39,52,0.65,MDT,24,27,5.09,923.65,147.86,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-15,9,-1,-110,21.75,31,1.17,MDT,24,22.72,8.4,789.55,75.68,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-15,9,-1,-110,39.43,13,2.04,MDT,24,19.7,2.03,530.45,60.49,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-15,9,-1,-110,57.97,5,3,MDT,24,5.4,4.95,481.06,164.81,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-15,9,-1,-110,91.8,0.8,4.83,MDT,24,1.38,1.94,295,158.28,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-15,9,-1,-110,124.24,0.1,6.91,MDT,24,0.14,0.68,11.24,10.17,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-16,10,-2,-110,12.09,52,0.65,MDT,24,22.99,5.59,864.41,57.48,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-16,10,-2,-110,22.52,31,1.17,MDT,24,13.5,2.02,829.48,194.17,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-16,10,-2,-110,36.83,13,2.04,MDT,24,12.66,3.29,436.76,38.56,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-16,10,-2,-110,56.02,5,3,MDT,24,6.9,1.94,512.41,57.39,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-18,12,-4,-110,11.62,52,0.65,MDT,24,22.62,1.29,585.25,67.38,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-18,12,-4,-110,21.62,31,1.17,MDT,24,18.22,1.19,674.07,59.54,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-18,12,-4,-110,38.98,13,2.04,MDT,24,17.24,1.81,453.09,25.58,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-20,14,0,-116.743,10.08,52,0.65,MDT,24,44.58,0.58,1144.63,135.13,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-20,14,0,-116.743,16.98,31,1.17,MDT,24,38.27,7.74,1105.23,80.54,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-20,14,0,-116.743,30.87,13,2.04,MDT,24,29.05,3.11,708.89,41.88,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-20,14,0,-116.743,38.79,5,3,MDT,24,10.07,1.14,444.46,44.45,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-20,14,0,-116.743,45.42,0.8,4.83,MDT,24,2.74,1.1,51.74,25.27,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-20,14,0,-116.743,74.33,0.1,6.91,MDT,24,0.55,0.69,9.23,8.85,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-21,16,0,-120,8.61,52,0.65,MDT,24,29.4,0.83,969,20.68,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-21,16,0,-120,16.98,31,1.17,MDT,24,29.32,9.5,1058.72,212.23,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-21,16,0,-120,29.91,13,2.04,MDT,24,17.41,3.05,623.52,86.86,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-21,16,0,-120,44.47,5,3,MDT,24,8.27,1.23,348.04,34.22,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-21,16,0,-120,72.37,0.8,4.83,MDT,24,0.89,0.52,279.67,40.48,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-21,16,0,-120,96.25,0.1,6.91,MDT,24,0.64,0.42,6.06,3,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-22,18,0,-122.8,11.01,52,0.65,MDT,24,18.69,2.23,693.51,55.68,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-22,18,0,-122.8,19.7,31,1.17,MDT,24,16.73,4.26,532.23,29.05,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-22,18,0,-122.8,33.63,13,2.04,MDT,24,12.14,0.7,409.36,53.55,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-22,18,0,-122.8,51.77,5,3,MDT,24,10.54,1.12,296.47,26.49,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-22,18,0,-122.8,82.88,0.8,4.83,MDT,24,9.35,4.9,74.59,10.07,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-22,18,0,-122.8,111.97,0.1,6.91,MDT,24,0.81,0.38,9.77,2.49,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-23,20,0,-125.5,9.94,52,0.65,MDT,24,53.48,5.06,1598.63,260.93,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-23,20,0,-125.5,20.66,31,1.17,MDT,24,36.49,6.99,1282.85,147.78,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-23,20,0,-125.5,35.34,13,2.04,MDT,24,33.03,11.44,812.61,138.37,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-23,20,0,-125.5,53.24,5,3,MDT,24,18.93,3.49,606.22,79.99,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-23,20,0,-125.5,85.07,0.8,4.83,MDT,24,4.24,1.38,259.99,91.33,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-24,22,0,-128.262,10.2,52,0.65,MDT,24,44.79,4.48,1357.19,222.02,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-24,22,0,-128.262,20.12,31,1.17,MDT,24,30.1,5.98,1091.79,127.73,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-24,22,0,-128.262,35.81,13,2.04,MDT,24,27.76,9.12,690.26,117.47,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-24,22,0,-128.262,51.24,5,3,MDT,24,15.86,2.85,513.71,67.56,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-24,22,0,-128.262,84.99,0.8,4.83,MDT,24,3.43,1.16,220.96,78.26,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-24,22,0,-128.262,114.46,0.1,6.91,MDT,24,0.76,0.31,8.96,8.02,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-25,24,0,-131.642,10.07,52,0.65,MDT,24,43.22,4.76,1265.17,226.93,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-25,24,0,-131.642,21.36,31,1.17,MDT,24,44.93,21.64,1081.8,51.22,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-25,24,0,-131.642,33.86,13,2.04,MDT,24,25.45,0.84,559.66,89.72,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-25,24,0,-131.642,51.01,5,3,MDT,24,12.22,1.89,435.51,73.01,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-25,24,0,-131.642,81.51,0.8,4.83,MDT,24,1.84,1.19,311.35,124.38,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-26,26,0,-135.2,10.89,52,0.65,MDT,24,39.13,11.89,1632.86,132.59,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-26,26,0,-135.2,20.9,31,1.17,MDT,24,36.07,1.26,1183.4,10.51,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-26,26,0,-135.2,34.34,13,2.04,MDT,24,26.75,3.84,712.14,73.31,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-26,26,0,-135.2,52.86,5,3,MDT,24,12.51,6.02,583.67,64.02,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-26,26,0,-135.2,82.29,0.8,4.83,MDT,24,1.82,0.49,189.26,24.21,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-26,26,0,-135.2,112.4,0.1,6.91,MDT,24,0.07,0.57,13.92,11.72,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-27,28,0,-138.677,10.17,52,0.65,MDT,24,16.73,5.42,1271.25,163.1,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-27,28,0,-138.677,20.8,31,1.17,MDT,24,32.85,6.68,1084.5,244.75,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-27,28,0,-138.677,33.2,13,2.04,MDT,24,18.2,1.34,632.37,12.38,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-27,28,0,-138.677,50.13,5,3,MDT,24,17.02,3.15,757.67,171.27,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-27,28,0,-138.677,84.27,0.8,4.83,MDT,24,3.95,1.38,279.04,50.33,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-27,28,0,-138.677,111.07,0.1,6.91,MDT,24,2.68,3.19,164.5,125.31,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-28,29,0,-140,10.64,52,0.65,MDT,24,30.32,2.38,1350.58,105.86,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-28,29,0,-140,19.8,31,1.17,MDT,24,41.44,9.97,1332.7,165.53,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-28,29,0,-140,35.27,13,2.04,MDT,24,20.01,4.74,722.17,164.87,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-28,29,0,-140,52.41,5,3,MDT,24,10.86,4.41,391.51,54.39,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-28,29,0,-140,82.43,0.8,4.83,MDT,24,1.9,1.02,178.4,27.75,,,,,,,,,,,,,
Balch,EqPac04,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2004-12-28,29,0,-140,111.35,0.1,6.91,MDT,24,1.91,4.57,29.54,27.05,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-08,1,4,-140,9.931,52,0.65,MDT,24,30,0.83,977.5,20.83,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-08,1,4,-140,19.793,31,1.17,MDT,24,29.17,9.17,1067.5,214.17,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-08,1,4,-140,27.746,13,2.04,MDT,24,17.5,3.33,628.33,87.5,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-08,1,4,-140,35.541,5,3,MDT,24,8.33,0.83,350.83,34.17,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-08,1,4,-140,65.105,0.8,4.83,MDT,24,0.83,0.83,281.67,40.83,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-08,1,4,-140,95.969,0.1,6.91,MDT,24,0.83,0.83,5.83,3.33,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-09,3,2.5,-140,11.829,52,0.65,MDT,24,23.33,7.5,536.67,5.83,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-09,3,2.5,-140,18.933,31,1.17,MDT,24,32.5,4.17,561.67,97.5,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-09,3,2.5,-140,31.549,13,2.04,MDT,24,21.67,3.33,420.83,29.17,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-09,3,2.5,-140,45.447,5,3,MDT,24,5,0.83,137.5,7.5,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-09,3,2.5,-140,73.371,0.8,4.83,MDT,24,0.83,,42.5,3.33,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-10,5,1,-140,11.503,52,0.65,MDT,24,5.83,0.83,764.17,65.83,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-10,5,1,-140,20.354,31,1.17,MDT,24,24.17,4.17,1011.67,217.5,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-10,5,1,-140,32.966,13,2.04,MDT,24,27.5,5.83,846.67,114.17,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-10,5,1,-140,49.499,5,3,MDT,24,5.83,1.67,865,61.67,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-10,5,1,-140,76.382,0.8,4.83,MDT,24,5,2.5,779.17,220.83,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-10,5,1,-140,109.437,0.1,6.91,MDT,24,1.67,0.83,362.5,84.17,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-11,7,0.5,-140,12.509,52,0.65,MDT,24,50.83,2.5,1650.83,258.33,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-11,7,0.5,-140,19.482,31,1.17,MDT,24,40,1.67,1515.83,116.67,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-11,7,0.5,-140,31.835,13,2.04,MDT,24,34.17,3.33,1265,29.17,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-11,7,0.5,-140,46.031,5,3,MDT,24,10,1.67,755,228.33,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-11,7,0.5,-140,74.448,0.8,4.83,MDT,24,0.83,0.83,433.33,40.83,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-11,7,0.5,-140,95.997,0.1,6.91,MDT,24,0.83,,524.17,78.33,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-12,9,0,-140,10.689,52,0.65,MDT,24,37.5,5,1017.5,158.33,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-12,9,0,-140,17.865,31,1.17,MDT,24,33.33,11.67,995.83,188.33,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-12,9,0,-140,30.367,13,2.04,MDT,24,24.17,0.83,1299.17,399.17,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-12,9,0,-140,43.679,5,3,MDT,24,10.83,5,559.17,122.5,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-12,9,0,-140,70.607,0.8,4.83,MDT,24,1.67,0.83,398.33,112.5,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-12,9,0,-140,98.404,0.1,6.91,MDT,24,1.67,,399.17,74.17,,,,,,,,,,,,,
Balch,EqPac05,Equatorial Pacific,"Balch et al., 2011",doi: 10.1016/j.dsr2.2010.08.004,2005-09-13,11,-0.5,-140,11.43,52,0.65,MDT,24,14.17,2.5,828.33,48.33,,,,,,,,,,,,,
